MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
8057.6,4270.4,3003.2,2369.6,1736,1419.2,1318.4,1232,1102.4,1044.8
8158.4,4313.6,3032,2398.4,1750.4,1433.6,1332.8,1246.4,1116.8,1059.2
8259.2,4371.2,3075.2,2427.2,1779.2,1448,1347.2,1260.8,1131.2,1059.2
8360,4414.4,3104,2441.6,1793.6,1462.4,1347.2,1260.8,1131.2,1073.6
8460.8,4472,3132.8,2470.4,1808,1476.8,1361.6,1275.2,1145.6,1073.6
8547.2,4515.2,3161.6,2499.2,1822.4,1491.2,1376,1289.6,1145.6,1088
8648,4558.4,3204.8,2513.6,1836.8,1491.2,1390.4,1289.6,1160,1088
8748.8,4616,3233.6,2542.4,1851.2,1505.6,1390.4,1304,1160,1102.4
8849.6,4659.2,3262.4,2571.2,1865.6,1520,1404.8,1318.4,1174.4,1102.4
8950.4,4716.8,3305.6,2600,1894.4,1534.4,1419.2,1318.4,1188.8,1116.8
9051.2,4760,3334.4,2614.4,1908.8,1548.8,1433.6,1332.8,1188.8,1116.8
9137.6,4803.2,3363.2,2643.2,1923.2,1563.2,1433.6,1347.2,1203.2,1131.2
9238.4,4860.8,3392,2672,1937.6,1577.6,1448,1347.2,1203.2,1131.2
9339.2,4904,3435.2,2686.4,1952,1577.6,1462.4,1361.6,1217.6,1145.6
9440,4961.6,3464,2715.2,1966.4,1592,1476.8,1376,1217.6,1145.6
9540.8,5004.8,3492.8,2744,1980.8,1606.4,1476.8,1376,1232,1160
9641.6,5062.4,3536,2772.8,2009.6,1620.8,1491.2,1390.4,1246.4,1160
9728,5105.6,3564.8,2787.2,2024,1635.2,1505.6,1404.8,1246.4,1174.4
9828.8,5148.8,3593.6,2816,2038.4,1649.6,1520,1404.8,1260.8,1174.4
9929.6,5206.4,3622.4,2844.8,2052.8,1664,1520,1419.2,1260.8,1188.8
10030.4,5249.6,3665.6,2859.2,2067.2,1664,1534.4,1433.6,1275.2,1188.8
10131.2,5307.2,3694.4,2888,2081.6,1678.4,1548.8,1448,1275.2,1203.2
10232,5350.4,3723.2,2916.8,2096,1692.8,1563.2,1448,1289.6,1203.2
10318.4,5393.6,3752,2931.2,2110.4,1707.2,1563.2,1462.4,1289.6,1217.6
10419.2,5451.2,3795.2,2960,2139.2,1721.6,1577.6,1476.8,1304,1217.6
10520,5494.4,3824,2988.8,2153.6,1736,1592,1476.8,1318.4,1232
10620.8,5552,3852.8,3017.6,2168,1750.4,1606.4,1491.2,1318.4,1232
10721.6,5595.2,3896,3032,2182.4,1750.4,1620.8,1505.6,1332.8,1246.4
